
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 2.83000
2   1 0.00356 2.57900
3   1 0.00696 2.35000
4   1 0.01021 2.14100
5   2 0.01424 1.95100
6   4 0.01954 1.77800
7   4 0.02743 1.62000
8   5 0.03491 1.47600
9   5 0.04302 1.34500
10  5 0.05045 1.22500
11  8 0.05839 1.11600
12 13 0.07021 1.01700
13 17 0.08356 0.92680
14 19 0.09750 0.84450
15 20 0.11070 0.76950
16 26 0.12480 0.70110
17 27 0.13820 0.63880
18 27 0.15070 0.58210
19 28 0.16190 0.53040
20 32 0.17330 0.48320
21 34 0.18450 0.44030
22 37 0.19520 0.40120
23 39 0.20580 0.36560
24 40 0.21550 0.33310
25 43 0.22450 0.30350
26 45 0.23330 0.27650
27 48 0.24170 0.25200
28 51 0.24970 0.22960
29 52 0.25710 0.20920
30 53 0.26410 0.19060
31 54 0.27050 0.17370
32 55 0.27610 0.15820
33 57 0.28110 0.14420
34 58 0.28580 0.13140
35 59 0.28990 0.11970
36 61 0.29360 0.10910
37 62 0.29690 0.09938
38 63 0.29980 0.09055
39 63 0.30250 0.08251
40 63 0.30470 0.07518
41 64 0.30670 0.06850
42 64 0.30850 0.06241
43 66 0.31010 0.05687
44 65 0.31150 0.05182
45 65 0.31270 0.04721
46 65 0.31370 0.04302
47 65 0.31460 0.03920
48 66 0.31530 0.03572
49 68 0.31600 0.03254
50 68 0.31660 0.02965
51 69 0.31710 0.02702
52 69 0.31760 0.02462
53 68 0.31800 0.02243
54 68 0.31840 0.02044
55 68 0.31860 0.01862
56 68 0.31890 0.01697
57 70 0.31910 0.01546
58 70 0.31930 0.01409
59 70 0.31940 0.01284
60 70 0.31960 0.01170
61 70 0.31970 0.01066
62 70 0.31970 0.00971
63 71 0.31980 0.00885
64 73 0.31990 0.00806
65 73 0.31990 0.00734
66 75 0.32000 0.00669
67 77 0.32000 0.00610
68 76 0.32010 0.00556
69 77 0.32010 0.00506
70 77 0.32020 0.00461
71 77 0.32020 0.00420
72 77 0.32020 0.00383
73 76 0.32020 0.00349
74 76 0.32030 0.00318
75 76 0.32030 0.00290
76 76 0.32030 0.00264
77 75 0.32030 0.00240
78 75 0.32030 0.00219
79 75 0.32030 0.00200
80 76 0.32030 0.00182
81 76 0.32030 0.00166
82 77 0.32040 0.00151
83 77 0.32040 0.00138
84 77 0.32040 0.00125
85 77 0.32040 0.00114
86 77 0.32040 0.00104
87 77 0.32040 0.00095
88 77 0.32040 0.00086
89 78 0.32040 0.00079
90 77 0.32040 0.00072
