
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = FALSE) 

   Df     %Dev  Lambda
1   0 0.000000 2.48900
2   1 0.001837 2.26800
3   1 0.003743 2.06600
4   1 0.005713 1.88300
5   2 0.007977 1.71500
6   2 0.011390 1.56300
7   2 0.014910 1.42400
8   3 0.018560 1.29800
9   3 0.023150 1.18200
10  3 0.027810 1.07700
11  3 0.032530 0.98170
12  4 0.037340 0.89450
13  5 0.042920 0.81500
14  5 0.048520 0.74260
15  5 0.054040 0.67660
16  5 0.059430 0.61650
17  7 0.065040 0.56170
18  9 0.071480 0.51180
19 10 0.078170 0.46640
20 10 0.084830 0.42490
21 11 0.091420 0.38720
22 12 0.098120 0.35280
23 14 0.104700 0.32140
24 15 0.111400 0.29290
25 16 0.117900 0.26690
26 17 0.124200 0.24320
27 18 0.130300 0.22160
28 19 0.136200 0.20190
29 19 0.142000 0.18390
30 21 0.147600 0.16760
31 21 0.153000 0.15270
32 21 0.158100 0.13910
33 22 0.163000 0.12680
34 25 0.167800 0.11550
35 25 0.172400 0.10530
36 25 0.176800 0.09591
37 25 0.180900 0.08739
38 27 0.184800 0.07963
39 28 0.188500 0.07255
40 28 0.192000 0.06611
41 29 0.195200 0.06023
42 29 0.198200 0.05488
43 30 0.200900 0.05001
44 31 0.203500 0.04556
45 31 0.205900 0.04152
46 31 0.208000 0.03783
47 31 0.210000 0.03447
48 32 0.211800 0.03141
49 33 0.213500 0.02862
50 33 0.215000 0.02607
51 33 0.216300 0.02376
52 33 0.217500 0.02165
53 33 0.218600 0.01972
54 33 0.219600 0.01797
55 33 0.220500 0.01638
56 33 0.221200 0.01492
57 33 0.221900 0.01359
58 33 0.222500 0.01239
59 33 0.223000 0.01129
60 33 0.223500 0.01028
61 33 0.223900 0.00937
62 32 0.224200 0.00854
63 32 0.224500 0.00778
64 33 0.224700 0.00709
65 33 0.224900 0.00646
66 33 0.225100 0.00588
67 33 0.225300 0.00536
68 33 0.225400 0.00489
69 33 0.225600 0.00445
70 33 0.225700 0.00406
71 33 0.225800 0.00370
72 33 0.225800 0.00337
73 33 0.225900 0.00307
74 33 0.225900 0.00280
75 33 0.226000 0.00255
76 33 0.226000 0.00232
77 33 0.226100 0.00212
78 33 0.226100 0.00193
79 33 0.226100 0.00176
80 33 0.226100 0.00160
81 33 0.226100 0.00146
82 33 0.226200 0.00133
83 33 0.226200 0.00121
84 33 0.226200 0.00110
85 33 0.226200 0.00100
86 33 0.226200 0.00092
87 33 0.226200 0.00083
88 33 0.226200 0.00076
89 33 0.226200 0.00069
90 33 0.226200 0.00063
91 33 0.226200 0.00058
92 33 0.226200 0.00052
93 33 0.226200 0.00048
