
Call:  glmnet(x = x, y = y, alpha = 0.2, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 2.65900
2   1 0.004936 2.42300
3   1 0.009588 2.20800
4   2 0.017130 2.01200
5   2 0.024930 1.83300
6   2 0.032180 1.67000
7   2 0.038880 1.52200
8   3 0.045190 1.38600
9   5 0.054620 1.26300
10  7 0.065980 1.15100
11  7 0.076690 1.04900
12  7 0.086280 0.95560
13  7 0.094820 0.87070
14  8 0.102700 0.79340
15  9 0.110300 0.72290
16 11 0.118900 0.65870
17 13 0.127800 0.60020
18 14 0.136400 0.54690
19 15 0.144200 0.49830
20 15 0.151200 0.45400
21 16 0.157300 0.41370
22 17 0.162900 0.37690
23 19 0.169600 0.34340
24 19 0.175600 0.31290
25 21 0.181000 0.28510
26 22 0.186100 0.25980
27 22 0.190600 0.23670
28 24 0.195100 0.21570
29 25 0.199200 0.19650
30 25 0.202700 0.17910
31 25 0.205800 0.16320
32 26 0.208600 0.14870
33 27 0.211000 0.13550
34 28 0.213200 0.12340
35 28 0.215100 0.11250
36 29 0.216700 0.10250
37 29 0.218200 0.09337
38 29 0.219400 0.08507
39 29 0.220400 0.07751
40 29 0.221300 0.07063
41 29 0.222100 0.06435
42 29 0.222700 0.05864
43 29 0.223200 0.05343
44 29 0.223700 0.04868
45 30 0.224100 0.04436
46 30 0.224400 0.04042
47 31 0.224700 0.03683
48 32 0.224900 0.03355
49 32 0.225100 0.03057
50 32 0.225300 0.02786
51 32 0.225500 0.02538
52 32 0.225600 0.02313
53 32 0.225700 0.02107
54 32 0.225800 0.01920
55 32 0.225900 0.01750
56 32 0.225900 0.01594
57 32 0.226000 0.01452
58 32 0.226000 0.01323
59 32 0.226000 0.01206
60 32 0.226100 0.01099
61 32 0.226100 0.01001
62 32 0.226100 0.00912
63 32 0.226100 0.00831
64 32 0.226200 0.00757
65 32 0.226200 0.00690
66 32 0.226200 0.00629
67 32 0.226200 0.00573
68 32 0.226200 0.00522
69 32 0.226200 0.00476
70 32 0.226200 0.00433
71 32 0.226200 0.00395
72 32 0.226200 0.00360
73 32 0.226200 0.00328
74 32 0.226200 0.00299
75 32 0.226200 0.00272
