
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.96700
2   1 0.00762 0.88110
3   1 0.01421 0.80280
4   2 0.02506 0.73150
5   2 0.03522 0.66650
6   2 0.04395 0.60730
7   2 0.05144 0.55330
8   3 0.05908 0.50420
9   4 0.06984 0.45940
10  7 0.08078 0.41860
11  7 0.09200 0.38140
12  7 0.10150 0.34750
13  7 0.10950 0.31660
14  8 0.11670 0.28850
15 10 0.12410 0.26290
16 12 0.13320 0.23950
17 13 0.14200 0.21820
18 14 0.14990 0.19890
19 14 0.15690 0.18120
20 15 0.16270 0.16510
21 16 0.16790 0.15040
22 19 0.17370 0.13710
23 19 0.17990 0.12490
24 19 0.18520 0.11380
25 20 0.19000 0.10370
26 21 0.19450 0.09447
27 23 0.19860 0.08608
28 24 0.20250 0.07843
29 24 0.20600 0.07146
30 24 0.20890 0.06512
31 25 0.21140 0.05933
32 25 0.21340 0.05406
33 27 0.21520 0.04926
34 29 0.21690 0.04488
35 29 0.21840 0.04089
36 29 0.21970 0.03726
37 29 0.22080 0.03395
38 29 0.22160 0.03094
39 29 0.22240 0.02819
40 29 0.22300 0.02568
41 29 0.22350 0.02340
42 29 0.22390 0.02132
43 29 0.22430 0.01943
44 29 0.22460 0.01770
45 30 0.22480 0.01613
46 31 0.22510 0.01470
47 31 0.22520 0.01339
48 32 0.22540 0.01220
49 32 0.22550 0.01112
50 32 0.22570 0.01013
51 32 0.22580 0.00923
52 32 0.22580 0.00841
53 32 0.22590 0.00766
54 32 0.22600 0.00698
55 32 0.22600 0.00636
56 32 0.22600 0.00580
57 32 0.22610 0.00528
58 32 0.22610 0.00481
59 32 0.22610 0.00438
60 32 0.22610 0.00400
61 32 0.22610 0.00364
62 32 0.22620 0.00332
63 32 0.22620 0.00302
64 32 0.22620 0.00275
65 32 0.22620 0.00251
66 32 0.22620 0.00229
67 32 0.22620 0.00208
68 32 0.22620 0.00190
69 32 0.22620 0.00173
70 32 0.22620 0.00158
71 32 0.22620 0.00144
72 32 0.22620 0.00131
