
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = TRUE) 

     Df    %Dev  Lambda
1     0 0.00000 14.5300
2     1 0.00182 13.2400
3     1 0.00373 12.0600
4     1 0.00573 10.9900
5     2 0.00915 10.0100
6     2 0.01275  9.1250
7     2 0.01650  8.3140
8     4 0.02144  7.5760
9     4 0.02715  6.9030
10    5 0.03309  6.2890
11    9 0.04095  5.7310
12   12 0.05130  5.2220
13   18 0.06376  4.7580
14   21 0.07738  4.3350
15   31 0.09149  3.9500
16   33 0.10710  3.5990
17   35 0.12280  3.2790
18   51 0.13950  2.9880
19   56 0.15750  2.7230
20   57 0.17550  2.4810
21   58 0.19280  2.2600
22   61 0.20950  2.0600
23   64 0.22570  1.8770
24   65 0.24130  1.7100
25   67 0.25600  1.5580
26   70 0.27060  1.4200
27   71 0.28500  1.2930
28   74 0.29890  1.1790
29   75 0.31270  1.0740
30   83 0.32580  0.9784
31  100 0.33840  0.8915
32  102 0.35090  0.8123
33  106 0.36290  0.7401
34  107 0.37480  0.6744
35  107 0.38610  0.6145
36  107 0.39670  0.5599
37  109 0.40680  0.5102
38  112 0.41660  0.4648
39  114 0.42580  0.4235
40  115 0.43470  0.3859
41  115 0.44290  0.3516
42  114 0.45070  0.3204
43  114 0.45800  0.2919
44  114 0.46490  0.2660
45  115 0.47150  0.2424
46  115 0.47760  0.2208
47  116 0.48330  0.2012
48  119 0.48860  0.1833
49  120 0.49370  0.1671
50  122 0.49850  0.1522
51  122 0.50330  0.1387
52  120 0.50770  0.1264
53  121 0.51160  0.1151
54  122 0.51540  0.1049
55  121 0.51900  0.0956
56  121 0.52240  0.0871
57  121 0.52550  0.0794
58  121 0.52840  0.0723
59  122 0.53130  0.0659
60  123 0.53390  0.0600
61  123 0.53640  0.0547
62  124 0.53870  0.0498
63  123 0.54090  0.0454
64  121 0.54290  0.0414
65  121 0.54470  0.0377
66  122 0.54640  0.0344
67  122 0.54790  0.0313
68  121 0.54940  0.0285
69  123 0.55070  0.0260
70  122 0.55200  0.0237
71  122 0.55310  0.0216
72  124 0.55420  0.0197
73  124 0.55520  0.0179
74  125 0.55610  0.0163
75  125 0.55700  0.0149
76  124 0.55780  0.0136
77  124 0.55850  0.0124
78  125 0.55920  0.0112
79  125 0.55980  0.0102
80  125 0.56040  0.0093
81  125 0.56100  0.0085
82  125 0.56150  0.0078
83  125 0.56200  0.0071
84  125 0.56240  0.0064
85  125 0.56280  0.0059
86  125 0.56320  0.0053
87  125 0.56350  0.0049
88  125 0.56390  0.0044
89  125 0.56410  0.0040
90  125 0.56440  0.0037
91  125 0.56470  0.0034
92  125 0.56490  0.0031
93  124 0.56510  0.0028
94  125 0.56520  0.0025
95  125 0.56540  0.0023
96  125 0.56550  0.0021
97  125 0.56570  0.0019
98  125 0.56580  0.0018
99  125 0.56590  0.0016
100 125 0.56600  0.0015
