
Call:  glmnet(x = x, y = y, alpha = 0.35, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 1.66100
2    1 0.00829 1.51300
3    1 0.01579 1.37900
4    2 0.02319 1.25600
5    2 0.03501 1.14500
6    2 0.04559 1.04300
7    2 0.05500 0.95020
8    3 0.06523 0.86580
9    4 0.07590 0.78890
10   6 0.08899 0.71880
11  10 0.10440 0.65490
12  12 0.12600 0.59680
13  14 0.14720 0.54370
14  17 0.16840 0.49540
15  29 0.19000 0.45140
16  33 0.21370 0.41130
17  32 0.23580 0.37480
18  33 0.25500 0.34150
19  44 0.27270 0.31110
20  48 0.28970 0.28350
21  49 0.30680 0.25830
22  51 0.32180 0.23540
23  57 0.33960 0.21450
24  58 0.35680 0.19540
25  59 0.37190 0.17810
26  59 0.38490 0.16220
27  62 0.39630 0.14780
28  65 0.40780 0.13470
29  81 0.41880 0.12270
30  83 0.43040 0.11180
31  97 0.44140 0.10190
32  98 0.45260 0.09284
33  99 0.46210 0.08459
34 100 0.47040 0.07707
35 102 0.47770 0.07023
36 105 0.48510 0.06399
37 105 0.49220 0.05830
38 106 0.49820 0.05312
39 108 0.50370 0.04840
40 109 0.50870 0.04410
41 111 0.51310 0.04019
42 112 0.51740 0.03662
43 111 0.52130 0.03336
44 113 0.52500 0.03040
45 113 0.52830 0.02770
46 116 0.53150 0.02524
47 117 0.53520 0.02300
48 117 0.53840 0.02095
49 117 0.54130 0.01909
50 118 0.54390 0.01740
51 119 0.54620 0.01585
52 119 0.54840 0.01444
53 119 0.55030 0.01316
54 120 0.55200 0.01199
55 119 0.55360 0.01092
56 119 0.55500 0.00995
57 120 0.55620 0.00907
58 121 0.55730 0.00826
59 121 0.55830 0.00753
60 122 0.55920 0.00686
61 122 0.56000 0.00625
62 123 0.56080 0.00570
63 124 0.56140 0.00519
64 124 0.56200 0.00473
65 125 0.56260 0.00431
66 125 0.56310 0.00393
67 125 0.56360 0.00358
68 125 0.56400 0.00326
69 125 0.56430 0.00297
70 125 0.56460 0.00271
71 125 0.56490 0.00247
72 125 0.56510 0.00225
73 125 0.56530 0.00205
74 125 0.56550 0.00186
75 125 0.56560 0.00170
76 124 0.56580 0.00155
77 124 0.56590 0.00141
78 124 0.56600 0.00129
79 125 0.56600 0.00117
80 125 0.56610 0.00107
81 125 0.56620 0.00097
82 125 0.56620 0.00089
83 125 0.56630 0.00081
84 125 0.56630 0.00074
85 125 0.56640 0.00067
86 125 0.56640 0.00061
87 125 0.56640 0.00056
88 125 0.56640 0.00051
89 125 0.56640 0.00046
90 125 0.56640 0.00042
