
Call:  glmnet(x = x, y = y, alpha = 0.65, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 1.53100
2    1 0.00056 1.39500
3    1 0.00103 1.27100
4    1 0.00142 1.15800
5    1 0.00174 1.05500
6    1 0.00201 0.96120
7    1 0.00223 0.87580
8    2 0.00296 0.79800
9    2 0.00390 0.72710
10   2 0.00468 0.66250
11   3 0.00583 0.60370
12   4 0.00683 0.55000
13   4 0.00766 0.50120
14   4 0.00836 0.45670
15   4 0.00894 0.41610
16   5 0.01853 0.37910
17   5 0.02702 0.34540
18   5 0.03445 0.31480
19   6 0.04095 0.28680
20   7 0.05132 0.26130
21   8 0.06223 0.23810
22   8 0.07178 0.21690
23   9 0.08086 0.19770
24  12 0.09219 0.18010
25  12 0.10640 0.16410
26  13 0.12050 0.14950
27  15 0.13510 0.13620
28  17 0.14900 0.12410
29  17 0.16190 0.11310
30  18 0.17300 0.10310
31  19 0.18390 0.09391
32  22 0.19760 0.08557
33  22 0.21200 0.07797
34  24 0.22470 0.07104
35  24 0.23570 0.06473
36  25 0.24560 0.05898
37  28 0.25510 0.05374
38  29 0.26480 0.04897
39  32 0.27420 0.04462
40  32 0.28290 0.04065
41  34 0.29040 0.03704
42  35 0.29780 0.03375
43  41 0.30610 0.03075
44  43 0.31710 0.02802
45  48 0.32940 0.02553
46  51 0.34380 0.02326
47  53 0.35860 0.02120
48  58 0.37330 0.01931
49  59 0.38820 0.01760
50  63 0.40170 0.01603
51  65 0.41450 0.01461
52  66 0.42680 0.01331
53  66 0.43770 0.01213
54  69 0.44810 0.01105
55  70 0.45750 0.01007
56  71 0.46560 0.00918
57  70 0.47290 0.00836
58  71 0.47950 0.00762
59  73 0.48530 0.00694
60  72 0.49120 0.00632
61  72 0.49680 0.00576
62  73 0.50160 0.00525
63  76 0.50640 0.00478
64  78 0.51080 0.00436
65  78 0.51520 0.00397
66  80 0.51910 0.00362
67  80 0.52290 0.00330
68  82 0.52610 0.00300
69  85 0.52950 0.00274
70  87 0.53290 0.00249
71  87 0.53600 0.00227
72  87 0.53870 0.00207
73  88 0.54130 0.00189
74  87 0.54370 0.00172
75  88 0.54600 0.00157
76  88 0.54810 0.00143
77  88 0.55000 0.00130
78  88 0.55170 0.00119
79  89 0.55330 0.00108
80  87 0.55470 0.00098
81  88 0.55600 0.00090
82  88 0.55710 0.00082
83  90 0.55820 0.00074
84  91 0.55910 0.00068
85  91 0.56000 0.00062
86  92 0.56080 0.00056
87  92 0.56150 0.00051
88  92 0.56220 0.00047
89  91 0.56270 0.00043
90  92 0.56320 0.00039
91  92 0.56370 0.00035
92  92 0.56400 0.00032
93  92 0.56440 0.00029
94  92 0.56470 0.00027
95  92 0.56490 0.00024
96  92 0.56520 0.00022
97  92 0.56540 0.00020
98  91 0.56550 0.00018
99  91 0.56570 0.00017
100 91 0.56580 0.00015
