
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 8.9120
2    1 0.00052 8.1200
3    1 0.00098 7.3990
4    1 0.00139 6.7420
5    1 0.00175 6.1430
6    1 0.00206 5.5970
7    1 0.00234 5.1000
8    1 0.00258 4.6470
9    1 0.00278 4.2340
10   2 0.00336 3.8580
11   2 0.00447 3.5150
12   3 0.00584 3.2030
13   3 0.00781 2.9180
14   3 0.00988 2.6590
15   3 0.01206 2.4230
16   5 0.01499 2.2080
17   5 0.01829 2.0110
18   7 0.02221 1.8330
19   8 0.02656 1.6700
20   8 0.03102 1.5220
21   9 0.03575 1.3860
22  10 0.04073 1.2630
23  10 0.04590 1.1510
24  15 0.05172 1.0490
25  16 0.05845 0.9556
26  19 0.06552 0.8707
27  21 0.07298 0.7934
28  23 0.08071 0.7229
29  25 0.08880 0.6587
30  27 0.09705 0.6001
31  31 0.10560 0.5468
32  32 0.11430 0.4983
33  34 0.12300 0.4540
34  34 0.13170 0.4137
35  35 0.14020 0.3769
36  36 0.14850 0.3434
37  37 0.15680 0.3129
38  38 0.16480 0.2851
39  39 0.17280 0.2598
40  40 0.18070 0.2367
41  40 0.18830 0.2157
42  41 0.19570 0.1965
43  41 0.20300 0.1791
44  44 0.21000 0.1632
45  45 0.21700 0.1487
46  47 0.22390 0.1355
47  49 0.23060 0.1234
48  51 0.23720 0.1125
49  51 0.24360 0.1025
50  52 0.24980 0.0934
51  54 0.25590 0.0851
52  58 0.26200 0.0775
53  58 0.26800 0.0706
54  57 0.27380 0.0644
55  57 0.27940 0.0586
56  57 0.28480 0.0534
57  57 0.29000 0.0487
58  57 0.29500 0.0444
59  56 0.29980 0.0404
60  56 0.30430 0.0368
61  56 0.30870 0.0336
62  58 0.31290 0.0306
63  58 0.31700 0.0279
64  58 0.32080 0.0254
65  58 0.32430 0.0231
66  60 0.32780 0.0211
67  61 0.33100 0.0192
68  61 0.33420 0.0175
69  61 0.33710 0.0159
70  61 0.33990 0.0145
71  61 0.34250 0.0132
72  62 0.34500 0.0121
73  62 0.34730 0.0110
74  62 0.34940 0.0100
75  62 0.35140 0.0091
76  62 0.35320 0.0083
77  62 0.35480 0.0076
78  62 0.35630 0.0069
79  62 0.35770 0.0063
80  62 0.35900 0.0057
81  62 0.36010 0.0052
82  62 0.36110 0.0048
83  62 0.36210 0.0043
84  62 0.36290 0.0039
85  62 0.36360 0.0036
86  62 0.36430 0.0033
87  61 0.36490 0.0030
88  61 0.36540 0.0027
89  61 0.36580 0.0025
90  62 0.36620 0.0023
91  62 0.36660 0.0021
92  62 0.36690 0.0019
93  62 0.36710 0.0017
94  62 0.36740 0.0016
95  62 0.36760 0.0014
96  62 0.36770 0.0013
97  62 0.36790 0.0012
98  62 0.36800 0.0011
99  62 0.36820 0.0010
100 63 0.36820 0.0009
