
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.83000
2   1 0.00908 0.75620
3   1 0.01691 0.68900
4   1 0.02362 0.62780
5   2 0.03383 0.57210
6   2 0.04396 0.52120
7   2 0.05262 0.47490
8   2 0.05999 0.43270
9   3 0.06788 0.39430
10  3 0.07599 0.35930
11  5 0.08517 0.32740
12  6 0.09752 0.29830
13 10 0.11210 0.27180
14 15 0.12890 0.24760
15 15 0.14490 0.22560
16 16 0.15840 0.20560
17 18 0.17140 0.18730
18 29 0.18570 0.17070
19 29 0.19870 0.15550
20 31 0.21010 0.14170
21 31 0.22090 0.12910
22 33 0.23120 0.11760
23 36 0.24130 0.10720
24 38 0.25160 0.09767
25 41 0.26260 0.08899
26 41 0.27250 0.08109
27 45 0.28260 0.07388
28 46 0.29260 0.06732
29 48 0.30240 0.06134
30 49 0.31100 0.05589
31 49 0.31830 0.05093
32 49 0.32450 0.04640
33 52 0.33040 0.04228
34 53 0.33580 0.03852
35 53 0.34040 0.03510
36 53 0.34420 0.03198
37 53 0.34740 0.02914
38 55 0.35010 0.02655
39 57 0.35260 0.02419
40 58 0.35490 0.02204
41 59 0.35680 0.02009
42 60 0.35850 0.01830
43 62 0.36000 0.01668
44 63 0.36130 0.01519
45 65 0.36260 0.01384
46 65 0.36350 0.01261
47 65 0.36440 0.01149
48 65 0.36510 0.01047
49 65 0.36560 0.00954
50 65 0.36610 0.00870
51 65 0.36650 0.00792
52 65 0.36680 0.00722
53 66 0.36710 0.00658
54 66 0.36730 0.00599
55 66 0.36760 0.00546
56 66 0.36780 0.00498
57 66 0.36790 0.00453
58 66 0.36810 0.00413
59 67 0.36820 0.00376
60 67 0.36830 0.00343
61 67 0.36840 0.00312
62 67 0.36840 0.00285
63 67 0.36850 0.00259
64 67 0.36860 0.00236
65 67 0.36860 0.00215
66 68 0.36860 0.00196
67 68 0.36870 0.00179
68 68 0.36870 0.00163
69 68 0.36870 0.00148
70 68 0.36870 0.00135
71 68 0.36870 0.00123
72 68 0.36870 0.00112
73 68 0.36880 0.00102
74 68 0.36880 0.00093
75 68 0.36880 0.00085
76 68 0.36880 0.00077
77 68 0.36880 0.00071
78 68 0.36880 0.00064
79 68 0.36880 0.00059
80 68 0.36880 0.00053
