IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_806,Fingerprint_803,Fingerprint_799,Fingerprint_797,Fingerprint_785,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,PKA_131_ENG,PKA_181,PKA_181_ASA,PKA_181_ENG,PKA_197_HYD,MUT_EIF2AK4_EXP,MUT_MAP3K8_EXP,PWY_R_HSA_2187338_EXP,PWY_R_HSA_9006936_EXP,GO_0014066_EXP,GO_0032212_EXP,GO_0036289,GO_0043066,GO_2000650_EXP,FAM_AGC,FAM_CMGC,CLS_gender_f,CLS_NCI_code_C9384,EXP_EIF2AK3,EXP_SRMS,EXP_ICK,EXP_FASTK,EXP_MAP3K10,EXP_TRIO,EXP_TGFBR1,EXP_NUAK2,Predicted IC50,Validation
3.446312,753558,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.2338878265,3.2677276446,3.2457378881,5.8218382323,3.6316738297,7.97851967,3.2072764063,5.0737219904,2.865321915,10
1.069785,753577,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.415194526,0,0,3.415194526,1,0,0,2,0,1,0,5.7817491499,3.0889672136,3.1804375719,5.2130404694,3.2637043704,6.2333483209,3.5943247784,4.527316394,1.5133950756,10
3.87406,905978,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.9966328209,3.1169883965,3.2633714671,5.3919269151,3.3163993803,5.9063173177,3.5968855145,4.1481087013,0.9342599633,4
-0.268727,905980,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.9282568476,0,0,0,0,0,0,0,0,1,2,0,0,5.0314965214,2.9538419853,3.1820242677,6.1394732904,3.3650320976,5.8128083661,3.9621345754,4.3207444175,1.274751365,5
-0.391755,909250,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.325,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,6.5466704855,3.0355704496,3.225613825,6.1756356034,3.4615806079,5.8972041862,3.5946334694,3.8602127534,1.2772907134,9
2.258333,909730,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.9032277026,3.2483536802,3.5364402489,5.8904707057,3.432953136,4.2564641365,3.3220513826,3.2852716282,1.4123321668,1
1.976789,909974,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7290330545,0,0,0,0,0,0,0,3.7600284835,0,1,0,0,6.4670645047,3.6623235323,3.5545443966,6.2082568209,3.3941389019,7.3433390764,3.9515995341,5.1836857936,2.6681640353,6
1.627274,753558,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.2338878265,3.2677276446,3.2457378881,5.8218382323,3.6316738297,7.97851967,3.2072764063,5.0737219904,2.5562957764,9
0.1453,753577,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.415194526,0,0,3.415194526,1,0,0,2,0,1,0,5.7817491499,3.0889672136,3.1804375719,5.2130404694,3.2637043704,6.2333483209,3.5943247784,4.527316394,1.7547751037,1
5.853587,905948,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7.2231249438,3.6793234289,3.5730919102,7.217538562,3.9515245112,6.9432950069,3.8710276406,4.3100584929,3.1411432565,1
1.761192,905978,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.9966328209,3.1169883965,3.2633714671,5.3919269151,3.3163993803,5.9063173177,3.5968855145,4.1481087013,2.3811193342,2
