IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_659,Fingerprint_658,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_114,PKA_260_ENG,PKA_260_EXP,MUT_RPS6KB2,MUT_RPS6KB2_EXP,PWY_R_HSA_1643685_CSV,PWY_R_HSA_170834_EXP,GO_0030325,GO_0061024,SFAM_DYRK1_EXP,SFAM_FJ_EXP,SFAM_NuaK,CLS_Histology_subtype_1_mixed_carcinoma,EXP_SBK2,EXP_ACVR2B,EXP_SBK1,EXP_STK10,EXP_MYO3B,EXP_STK19,PKA_137_CSV_X_Fingerprint_576,PKA_137_EXP_X_Fingerprint_576,PKA_137_X_Fingerprint_576,PKA_251_ENG_X_Fingerprint_644,PKA_251_POL_X_Fingerprint_644,PKA_260_EXP_X_Fingerprint_611,PKA_85_EXP_X_Fingerprint_611,PKA_93_EXP_X_Fingerprint_644,PKA_93_X_Fingerprint_644,EXP_CSNK1E_X_EXP_CEP135,EXP_CSNK1E_X_EXP_UTP3,EXP_FGFR2_X_EXP_EPN3,EXP_FGFR2_X_EXP_NCAM1,EXP_MAP2K2_X_EXP_HRAS,EXP_MAP2K2_X_EXP_YWHAH,EXP_MAPK8_X_EXP_ATF3,EXP_MAPK8_X_EXP_CRK,EXP_MAPK8_X_EXP_GNA15,EXP_MAPK8_X_EXP_HSP90AA1,EXP_MAPK8_X_EXP_TNFRSF1A,EXP_MAPKAPK3_X_EXP_TNRC6C,EXP_STRADB_X_EXP_PRKAB1,EXP_SYK_X_EXP_SNCA,EXP_SYK_X_EXP_TLR4,REC_R_HSA_3228469_EXP_X_REC_R_HSA_6802934_EXP,REC_R_HSA_3228469_X_REC_R_HSA_6802932,GO_0003007_X_GO_0007268,GO_0010629_X_GO_0048015,GO_0036289_EXP_X_GO_0060999_EXP,Predicted IC50,Validation
4.499125,1240197,275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.795126,0,0,0,0,0,0,0,3.6047826025,4.2447828638,5.9293195283,3.734959908,2.8142892589,2.5020686576,0,0,0,0,0,0,0,0,0,37.234156669,50.269494567,14.030652704,14.013794627,40.525485688,68.595919961,14.987895228,35.368802644,15.998349995,45.137146836,23.53809934,19.336264624,18.94656315,12.316063764,11.067515469,0,0,0,0,0,4.6595689944,1
-0.92593,905991,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711014,0,0,0,0,0,0,0,3.2189426932,4.7767566808,4.8469806673,4.4430645669,2.765996058,2.8536282614,0,0,0,0,0,0,0,0,0,36.8049036,68.731588097,10.002241832,10.262328532,44.314431907,76.815542775,14.17036255,38.407689143,20.827368092,43.355126798,27.535001325,23.565624791,18.721631587,20.924054128,8.5452175449,0,0,0,0,0,-1.910310004,8
4.771078,1480360,262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4693952925,3.9616000565,4.0304990539,4.2804118829,2.8817219188,2.8522580196,0,0,0,0,0,0,0,0,0,42.841958695,63.027955405,9.7308042125,12.787292162,54.166590828,81.471854216,15.39008892,28.454523902,16.130489808,38.501371537,24.76802426,24.546406217,16.327873418,11.309215664,12.329424114,0,0,0,0,0,3.2761536785,3
2.378491,1240200,255,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3.862706558,0,0,0,0,0,0,1,0,3.5651701742,4.9298902813,5.1298597287,4.0102156211,2.9186720559,2.6789317833,0,0,0,0,0,0,0,0,0,32.06160801,61.716945744,14.236685723,13.090805212,45.518070169,68.901560859,16.647075999,35.168233053,15.071942009,46.842357813,22.581580073,28.609539066,29.525746803,21.047031398,16.802141734,0,0,0,0,0,2.0190984171,2
3.420867,911905,249,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.4552507297,4.9238865903,4.2711638623,4.7982585138,2.927028738,3.6678564513,0,0,0,0,0,0,0,0,0,33.112444715,53.649031495,13.054192819,14.505605268,43.593866675,64.240688456,13.361406539,29.1745288,13.35496538,30.611119308,15.282543488,22.651262539,20.67731436,22.28138031,13.03771562,0,0,1,0,0,3.072352441,4
2.204596,909699,291,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.4634369571,0,0,4.0245507019,4.7294591102,4.9914223519,3.6707155881,2.8903034007,3.0463296161,0,0,0,0,0,0,0,0,0,29.756017949,64.060377609,13.259083497,13.573163989,49.179323484,72.734472057,17.107489967,28.275372905,15.753702232,48.978007051,24.965047538,23.335915947,24.480506542,22.875186179,19.220868616,0,0,0,0,0,2.7854224636,8
5.229478,1240198,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8752965222,0,0,3.4100116681,4.8097548111,4.5213325197,3.4542267842,2.8722874692,2.7747628878,0,0,0,0,0,0,0,0,0,32.500319667,58.45235757,14.877111337,13.851661192,41.943867915,69.617671963,16.252172526,28.765009519,13.68767025,42.597495915,20.016837708,24.308936814,21.597117942,18.992020804,16.481953622,0,0,0,0,0,5.0628019531,6
2.894545,909699,1021,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.4634369571,0,0,4.0245507019,4.7294591102,4.9914223519,3.6707155881,2.8903034007,3.0463296161,0,0,0,0,0,0,0,0,0,29.756017949,64.060377609,13.259083497,13.573163989,49.179323484,72.734472057,17.107489967,28.275372905,15.753702232,48.978007051,24.965047538,23.335915947,24.480506542,22.875186179,19.220868616,0,0,0,0,0,2.266521936,2
6.748581,1480374,229,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,-3.239,4.7159664778,0,0,0,0,0,0,0,0,0,1,3.2164318631,3.9668787496,7.3168549611,3.5548584686,2.909840205,2.8942232905,0,0,0,0,0,4.7159664778,0,0,0,31.221869283,60.613449229,14.225854782,12.938810594,40.542353927,66.941254828,15.576535623,31.28690763,14.61326707,35.499575542,18.938639034,19.977946617,17.144634283,18.262185327,16.96258755,0,0,0,0,0,4.9276735393,3
3.478468,906852,257,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.421447,0,0,0,0,0,0,0,3.3876790599,3.8681552992,5.9578128237,5.2496082754,2.7380013902,2.7166409539,0,0,0,0,0,0,0,0,0,39.100227458,62.275915198,11.131727834,11.228741906,68.5834949,79.502857744,13.427176948,30.901598569,19.347426062,40.313038926,23.063913496,25.904008715,25.513378525,12.375184833,12.169201838,0,0,0,0,0,3.085111799,4
