IC50_GDSC2,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_686,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_113_ASA,PKA_113_VOL,PKA_123_T,PKA_123_T_EXP,PKA_194_EXP,PKA_214_B62,PKA_243_ENG,MUT_CAMK1G_CSV,MUT_ROR1_EXP,CNV_ROCK2_gain,REC_R_HSA_176298,REC_R_HSA_176298_EXP,REC_R_HSA_5140741_EXP,REC_R_HSA_5218819_EXP,PWY_R_HSA_166166_CSV,PWY_R_HSA_168928_CSV,PWY_R_HSA_2187338_CSV,PWY_R_HSA_6796648_EXP,PWY_R_HSA_6811558,PWY_R_HSA_6811558_EXP,GO_0005977_CSV,GO_0007049,GO_0007059_EXP,GO_0019827_EXP,GO_0031032,GO_0032007_CSV,GO_0043154,GO_0045785_EXP,GO_0060271_CSV,GO_0060444,GO_0070266,SFAM_CAMK1_CSV,SFAM_InsR_CSV,SFAM_Other_Unique_CSV,SFAM_TSSK,CLS_Histology_subtype_1_adenocarcinoma,EXP_CDKL2,EXP_CDC42BPB,EXP_PKN2,EXP_DCLK3,EXP_EIF2AK1,EXP_LMTK2,PKA_102_CSV_X_Fingerprint_714,PKA_102_VOL_X_Fingerprint_714,PKA_112_POL_X_Fingerprint_659,PKA_123_VOL_X_Fingerprint_363,PKA_142_X_Fingerprint_611,PKA_160_HYD_X_Fingerprint_696,PKA_175_ENG_X_Fingerprint_685,PKA_187_ASA_X_Fingerprint_791,PKA_187_B62_X_Fingerprint_826,PKA_187_CHA_X_Fingerprint_791,PKA_187_POL_X_Fingerprint_791,PKA_187_VOL_X_Fingerprint_826,PKA_197_ASA_X_Fingerprint_798,PKA_197_B62_X_Fingerprint_576,PKA_197_EXP_X_Fingerprint_576,PKA_197_VOL_X_Fingerprint_702,PKA_200_HYD_X_Fingerprint_673,PKA_216_ASA_X_Fingerprint_646,PKA_226_HYD_X_Fingerprint_576,PKA_226_X_Fingerprint_644,PKA_229_EXP_X_Fingerprint_576,PKA_229_HYD_X_Fingerprint_576,PKA_244_ENG_X_Fingerprint_576,PKA_247_HYD_X_Fingerprint_685,PKA_252_ASA_X_Fingerprint_646,PKA_260_HYD_X_Fingerprint_819,PKA_260_POL_X_Fingerprint_819,PKA_270_EXP_X_Fingerprint_611,PKA_270_HYD_X_Fingerprint_611,PKA_270_POL_X_Fingerprint_576,PKA_270_VOL_X_Fingerprint_673,PKA_280_ENG_X_Fingerprint_646,PKA_283_ASA_X_Fingerprint_576,PKA_283_ASA_X_Fingerprint_644,PKA_283_ASA_X_Fingerprint_647,PKA_283_POL_X_Fingerprint_644,PKA_283_POL_X_Fingerprint_647,PKA_283_VOL_X_Fingerprint_673,PKA_293_EXP_X_Fingerprint_363,PKA_293_X_Fingerprint_611,PKA_293_X_Fingerprint_647,PKA_73_CHA_X_Fingerprint_714,PKA_73_ENG_X_Fingerprint_611,PKA_73_ENG_X_Fingerprint_644,PKA_73_EXP_X_Fingerprint_702,PKA_73_POL_X_Fingerprint_611,PKA_77_ASA_X_Fingerprint_714,EXP_BLVRA_X_EXP_UGT2B15,EXP_CAMK2D_X_EXP_STAT1,EXP_CASK_X_EXP_LIN7B,EXP_CDK13_X_EXP_AKAP4,EXP_CDK13_X_EXP_CCNT1,EXP_CDK13_X_EXP_PYCARD,EXP_GRK5_X_EXP_CCR9,EXP_GRK5_X_EXP_NPS,EXP_JAK1_X_EXP_PTPN1,EXP_MAP4K4_X_EXP_CD40LG,EXP_MAP4K4_X_EXP_MAP3K7,EXP_MAP4K4_X_EXP_TP53,EXP_NLK_X_EXP_AGO1,EXP_NPR1_X_EXP_ENTPD3,EXP_PAK2_X_EXP_CTTN,EXP_PDGFRB_X_EXP_AFDN,EXP_PDGFRB_X_EXP_SLC9A3R2,EXP_PKN2_X_EXP_RAC1,EXP_PKN2_X_EXP_RHOB,EXP_SRPK1_X_EXP_LUC7L3,EXP_SRPK1_X_EXP_SRSF5,EXP_TLK2_X_EXP_XPO7,EXP_TTN_X_EXP_MYL4,EXP_WNK3_X_EXP_KCNJ1,EXP_WNK3_X_EXP_SLC12A2,EXP_YES1_X_EXP_ACTN1,EXP_YES1_X_EXP_PPP2R5C,REC_R_HSA_2032800_EXP_X_REC_R_HSA_2682349_EXP,PWY_R_HSA_199991_X_PWY_R_HSA_451927,PWY_R_HSA_451927_X_PWY_R_HSA_881907,PWY_R_HSA_68877_EXP_X_PWY_R_HSA_983712_EXP,GO_0000082_X_GO_0010629,GO_0000082_X_GO_0070059,GO_0001525_CSV_X_GO_0030900_CSV,GO_0006955_EXP_X_GO_0031098_EXP,GO_0006955_X_GO_0023014,GO_0007030_CSV_X_GO_0007346_CSV,GO_0016310_EXP_X_GO_0030501_EXP,GO_0030324_EXP_X_GO_0030900_EXP,GO_0030324_EXP_X_GO_0048675_EXP,GO_0030324_X_GO_0048675,GO_0030900_CSV_X_GO_0048013_CSV,GO_0031098_X_GO_0043276,GO_0031098_X_GO_0045059,GO_0043405_X_GO_0051259,GO_0060045_X_GO_2001237
2.602748,687777,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93695639206394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16443695812444,5.80062497984086,7.22730805851705,3.22839958887145,7.18549653561321,3.48788677053093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5924552251833,32.514454095888,32.6791933038146,12.5037898254122,21.8509668603577,29.9713089804776,12.7678199355372,9.67295035170818,66.505775835981,22.5767555322571,50.5409832754272,23.8024405043834,29.5124614996681,12.81889612725,48.5081200704969,14.6988563025184,10.8258266103057,77.1663847033404,29.3874525544611,54.1172684471921,59.9093091867029,40.3463357631711,12.6845601044764,10.6657074866207,29.8285374152173,56.7169862686741,42.8758812102254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.01101,687780,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2.4991710849393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.754478,0,0,0,2.92627320307661,6.3017121168296,6.55736950978354,3.27560305077231,6.41924904011565,3.01983602292091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8476760552847,31.3193017338024,23.122450209569,11.5169232423291,23.0387859867555,27.6991950554039,14.6822532982059,12.9437480726387,71.7717677678766,26.4274929356918,65.1104357317825,28.8547223608522,28.1891115475194,11.7642812008042,49.0167838855974,11.7666943949905,11.0753883685213,65.7682028754783,22.7723453532084,58.8331931530414,67.112984774512,44.4601801410383,10.8344482667969,8.74771557204659,11.3206108608718,68.9341746321283,60.1283501937712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.440956,687787,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798984,0,0,0,1,3.26605880679994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04836661553376,5.59327033998204,6.6229495818103,2.95118191682363,7.29482200378351,3.16975442589751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2206708985828,22.2269447688151,23.1174536907186,13.1735128525586,33.9099953150903,20.431908694607,9.68534706579844,7.74495917948625,51.2817197611989,20.8989671931885,49.0615156864013,24.5639288243166,43.0460030099399,16.1068697377061,53.3093575847041,14.1852563126649,10.3123286641966,67.5159555398053,24.7916389559378,75.06821544497,67.3163333062144,52.2053676290832,9.61663008323998,9.94276231487196,12.8006289008854,52.6363452310584,54.8361072511788,0,0,0,19.6055399652247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.831358,687798,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.69903498295995,1,0,0,3.69903498295995,3.17566170352292,0,0,0.772934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59086756397562,6.32308348669809,6.52198339551837,3.66207861895044,8.07218173320522,3.08515747883378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0487432494057,32.8144997415908,39.6171706210258,13.5937964635418,31.6806286389809,16.0996556582667,9.8842593691451,8.63641026555551,65.3286838806686,19.1291719776815,39.6870525043492,18.8013344177555,29.6439799126475,21.2262955705694,43.8729365197675,11.0250231362483,10.9984030681702,68.7180700650998,29.2020784131963,59.7707115754566,64.138676784356,46.9729197749992,8.0153230717176,8.08017167712073,11.3233874038554,35.4811167790282,48.4826764065228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.248288,687799,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08639133248847,6.32307582553237,6.60053846972222,3.33806651407851,6.92051238714786,3.04010703177665,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2027374993236,30.2291809678805,26.3709248901668,11.9286385750863,22.7116615404842,17.6431114593889,10.7178918886769,9.30726677875028,66.261013007204,20.7594768337924,54.556302655151,21.180752670558,33.8750735526271,10.1997324252035,58.063918490591,14.0477459168131,13.1562273680849,68.29564591622,26.6854513640785,59.5584543203641,63.9749589827656,38.690956481032,9.67246801719294,8.82311185161347,19.2831502543703,62.7941020355287,52.2392704312156,0,0,0,0,0,0,0,27.8893949917365,1,0,0,0,0,0,0,0,1,0,0
2.928926,687802,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.07796400328235,0,0,0.774856,0,0,5.07796400328235,0,0,0,1,0,0,0,0,0,0,0.784428,0,0,0,0,0,0,0,3.21852387313027,6.87139897453392,7.81584117322635,3.40008770215958,6.55799937492202,3.32963522114281,0,0,0,0,0,0,0,0,0,0,0,0,-26.5,-1,3.16520405092073,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0469678430429,41.6838847272822,23.5852777605763,12.1407813747918,27.6780402296864,13.3211320734518,10.8767444553133,9.19854489391237,77.0423292172915,22.3012905159528,54.013603173236,21.798066510178,30.6149695748732,9.87765608181503,50.668320271826,11.0022391383851,9.54631174767309,78.1898248564228,27.9010400873327,60.6927293114934,63.9051903995031,49.0829803090024,11.0897876080245,11.5420403582893,20.0812907204637,66.0334179612098,49.7564303890435,19.4948803197562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.558647,687807,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.40244991269209,0,0,0,0,0,17.5067290937172,2,12.8682459191231,0,2,0,3.40560656476344,0,0,0,4.65060737306791,0,0,0,0,0,0,0,0,3.33389862862931,5.18671971570005,7.15181312378569,3.16869084865179,7.93115223434996,3.26047282027726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2049616485601,33.6017306278008,26.9453628062354,11.5426099483021,21.5217435060319,12.9369631079979,14.7639396554485,13.4278125435784,74.3600247451172,22.3480534416424,54.4818983239886,23.2145057269937,26.7137000525453,10.8478254137844,44.9562898057172,12.3045746467356,10.6334159928519,77.8108221127289,25.6436116747901,58.3705628744823,61.8299592066792,44.7502276382008,13.337635367151,9.988813233447,16.1024149997969,51.7344951435043,51.8308474332083,0,0,0,0,0,0,0,0,0,0,15.0009202507166,0,0,0,0,0,0,0,2
4.674849,687819,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.23091979235439,0,7.75297052828856,1.418495,0,0,12.3032175683777,5,22.0097999042914,0,4,0,0,0,0,0,4.27584040604859,0,0,0,0,0,0,1,0,3.72442030712958,6.92447617087194,6.5123910805224,3.42797008977886,6.81794832601266,2.92762833006631,0.829464,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.071135339076,43.5269455306492,24.0739542332375,13.5871879032575,33.1006093631433,17.2016394516649,11.1999447850035,9.65043843733564,68.0632550609326,19.7164629731138,44.6958414022998,20.7554127473947,34.1898723108199,12.8515952387996,48.2246515773413,13.5628593159032,8.65098500857276,63.7256724762882,23.3466042290897,54.8756118278421,68.0012517605891,44.4068690848273,15.8815339695083,12.0440169085058,20.5314799774974,40.8445334778097,43.2724226448156,0,0,0,40.8615659536787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.649879,687820,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-18.1,-29.4,0,0,0,-3,0,0,0,0,0,0,0,3.74710615461748,0.722319,0,0,0,1,3.20803766319284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60192851465521,6.46436559488857,6.69585156890026,3.0198946920783,6.52139284303813,3.1309435726885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7046054452988,48.2693344368563,32.3383119098239,11.9531658249466,25.6452134061454,17.3964384593394,11.4664804430581,10.7158995228661,68.1263380011111,21.4494787633877,44.3260359956268,20.1189157361351,28.2209579170209,14.7422686181663,52.4140686753096,12.563634892623,12.3747332904286,68.9284869744416,26.1607176490155,57.2001402852271,69.6435913109097,50.8072706127258,11.5860761116704,10.5514339206259,19.8125682309891,50.3867568578754,46.6777190302082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.631917,687821,1010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.38740371380173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09168391186421,6.75018991338531,7.16993200039612,2.90273914837352,6.81176281031091,2.96524877773275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2082929590661,48.4444005940217,31.8822409435786,11.0530393064344,25.1061058529703,31.487680267193,13.2724426981868,12.9369316680552,66.2994645113649,23.3911797741076,56.5477653399517,24.3950749913669,35.083257101489,9.44288227076729,52.9485488155121,11.6347691134757,11.5955314538121,73.7766159030119,24.6630818222789,61.6966086047327,62.2375335247784,43.8199306601813,10.8530374220756,8.19895348275055,17.9296339044539,59.7366980943994,52.9113857126294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
